#Rev: sensefly/geoinfo/2
fileName	latitude	longitude	altitude_amsl	altitude_wgs84	heading	pitch	roll
IMG_2166.JPG	37.5448893000	139.0398406000	216.5906524658	255.8478698730	149.4499511719	5.2157397270	3.9811384678	
IMG_2167.JPG	37.5445143000	139.0402505000	219.6874542236	260.0406799316	149.0682983398	0.1262618601	-3.5062153339	
IMG_2168.JPG	37.5442295000	139.0407716000	219.3353424072	259.7753601074	132.9503784180	0.5505754948	12.2404966354	
IMG_2169.JPG	37.5439091000	139.0411828000	217.6339569092	257.3471069336	153.1497802734	3.8695869446	1.9112340212	
IMG_2170.JPG	37.5436013000	139.0415838000	217.1116027832	257.8037719727	146.1328582764	-0.2831844091	6.8564248085	
IMG_2171.JPG	37.5432999000	139.0420305000	217.4841613770	258.9920349121	142.8074798584	-0.2866778970	6.0571765900	
IMG_2172.JPG	37.5429695000	139.0424671000	218.8369293213	261.0393676758	139.6196289062	-3.6575262547	-5.6841545105	
IMG_2173.JPG	37.5426835000	139.0428871000	219.1238403320	260.1406555176	147.9068298340	4.4160184860	4.4056882858	
IMG_2174.JPG	37.5423908000	139.0432747000	219.1896057129	260.8517150879	137.8588256836	1.8990851641	-6.2523469925	
IMG_2175.JPG	37.5421127000	139.0436958000	219.8693237305	261.7359008789	144.5101623535	-3.1971406937	0.7864387035	
IMG_2176.JPG	37.5418062000	139.0440948000	220.1282043457	262.1688232422	142.3104095459	-2.0620255470	-10.3837347031	
IMG_2177.JPG	37.5415169000	139.0444797000	221.1074523926	262.9530944824	142.7395019531	-5.0906291008	-3.5840554237	
IMG_2178.JPG	37.5412341000	139.0448843000	220.7553405762	261.1331176758	149.0999755859	6.0338082314	-2.6581823826	
IMG_2179.JPG	37.5409378000	139.0452698000	220.4046325684	261.0764770508	142.1484680176	1.3881108761	-6.6072173119	
IMG_2180.JPG	37.5415630000	139.0453351000	218.5117187500	258.5503845215	299.3570251465	6.1497168541	-5.2243375778	
IMG_2181.JPG	37.5418224000	139.0449919000	219.5598907471	260.3000183105	304.1345214844	3.0027613640	-3.2584993839	
